CmpdID,neuSmi,y_true
444,C=CCn1nc(NCC(=O)NC2CN(C3CCC(C(=O)OCC)CC3)C2)c2cc(C(F)(F)F)ccc21,5.43
10557,NCCOS(=O)(=O)O,4
5461,CN1CCN(C(=O)c2ccc(-c3cnc(N)c(-c4ccc(C(F)(F)F)cc4)c3)cc2)CC1,4.79
6788,COc1ccc(-c2ccc(C(=O)O)cc2C)cc1-c1cnc(N(C)C)nc1CN1C(=O)OC(c2ccc(OC(F)(F)F)cc2)C1C,5.42
4676,CCS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)n2)cc1,5.43
10249,NC(=O)NO,4
10983,O=C(C1CCN(c2cccc(C(F)(F)F)n2)CC1)N1CCC(NC2CCC(O)(c3ccc(-c4ncccn4)cn3)CC2)C1,5
831,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,4
12856,OCC(CO)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(Oc2ccccc2)n1,4
6842,COc1ccc(-n2cnc3c(-c4ccccc4)csc3c2=O)cc1,4.97
5465,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,4
1722,CC(C=O)Cc1ccc(C(C)(C)C)cc1,4
11601,O=C(O)C(O)c1ccccc1,4
7301,COc1cccc(C(c2cc3cc(C#N)ccc3nc2OC)C(O)(CCN(C)C)c2cc(SC)nc(SC)c2)c1F,5.29
7058,COc1ccc(Nc2ccc(OC)cc2)cc1,4
10392,NC(CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O,4
13123,c1cc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,4
1707,CC(C)n1ncc2c1C(=O)CC1(CCN(C(=O)c3cnc4cc[nH]c4c3)CC1)C2,4.54
7857,Cc1c(C(O)CN2CCN(CC(O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O,4.5175
10512,NCC1(c2cccc(Cl)c2)CCC(n2nc(-c3cccnc3)ccc2=O)CC1,5.36
2891,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2C=NOC(C)(C)C,4
1677,CC(C)c1ccccc1C(=O)N(CC1CCCC1)C1CCNC1,5.63
5745,CNCC(O)c1cccc(O)c1,4
7661,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,5.938006113
7307,COc1cccc(C=O)c1,4
8794,Cc1cccc[n+]1[O-],4
9919,Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,5.19
3654,CCCCOC(=O)CCCCC(=O)OCCCC,4
11936,O=C(c1ccc(F)cc1)N1CCN(c2ccc(OCCCN3CCCCC3)cc2)C(=O)C1,4.3
12833,OC1CCC(Nc2ccc3ncc(-c4cccc(C(F)(F)F)c4)n3n2)CC1,5
4128,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,5.2
6522,COc1cc(C)nc(Nc2cc(NC3CCCCC3N)cnc2C(N)=O)c1,5.77
10358,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82
12392,O=CC(=O)c1ccccc1,4
4207,CCNc1ccccc1,4
9342,Cc1noc(C(=Cc2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)n1,4.3
12514,O=S(=O)(O)c1cccc(S(=O)(=O)O)c1,4
11212,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,4
7805,Cc1c(C(F)CN2CCN(C(=O)Cc3ccc(-n4cnnn4)nc3)CC2)ccc2c1COC2=O,4.66
6884,COc1ccc(C(NC(=O)c2cnc(-n3cccn3)nc2O)c2ccc(OC)cc2)cc1,6.05
2831,CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,4
537,CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN1CCN(C(C)=O)CC1)c1ccccc1,5
2662,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,4
10808,Nc1cccnc1,4
1976,CC1(C#N)CN(c2cc(COc3ccc(F)c(F)c3F)nc(-c3ccccn3)n2)C1,5
8287,Cc1cc(S(=O)(=O)Nc2ccncn2)c(F)cc1OC1CCCCC1c1ccnn1C,4.05
2295,CC1C=C(C2=Nc3cc(Cl)ccc3Nc3ccc(Cl)cc32)CCN1C,6.05
2145,CC1(c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)Cn2nc(C#N)cc2C(N)=N1,5.18
7401,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(NC(C)=O)c2c1O,4
1567,CC(C)OCC(Oc1ncnc2c1cnn2-c1ccccc1Cl)C(=O)Nc1ccc(Cl)cn1,4.8
7587,CS(=O)(=O)c1cc(-c2ccccc2)cc(S(=O)(=O)c2ccc(CN)s2)c1,4.6
6151,COCC(C)Oc1cc(Oc2ccc(C(=O)N3CCC3)cc2)cc(C(=O)Nc2ccn(C)n2)c1,4.44
4164,CCNC(=O)C=Cc1cccc(Br)c1,4
7923,Cc1c(N)c(=O)n(-c2ccccc2)n1C,4
835,CC(=O)SCc1ccco1,4
735,CC(=O)Nc1ccn(C2COC(COC(=O)c3ccccc3)O2)c(=O)n1,4
2180,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)O)CCC12,4
11131,O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN(C2CCC(c3ccccc3O)CC2)C1,5.18
7638,CSC1=NC(C)(c2ccccc2)C(=O)N1Nc1ccccc1,4
2214,CC12CCCC=C1C(=O)OC2=O,4
4871,CCc1nn2c(C)cc(C)nc2c1Cc1ccc(CCCN2CCN(C(C)C)CC2)cc1,5.35
5820,CNc1cc(Nc2cnc(C#N)c(OC(C)CN(C)C)n2)ncc1C1CC1,5.22
12539,O=S1(=O)CCC(Oc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1,5.16
84,C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NCC1CNCCO1,5.09
5789,CNCc1ccc(Cl)cc1Oc1ccc(C)cc1,5.79
3271,CCCCCCCCCCC(CO)CCCCCCCC,4
3701,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.904672779
9636,Cn1c(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)cc1,6.09
8093,Cc1cc(C)c(C=O)c(C)c1,4
4593,CCOc1cc(CN2CCC3(CC2)CC(=O)N(c2ccc(C(=O)O)cc2)C3)cc(OCC)c1-c1ccc(F)cc1,4.35
11036,O=C(CCCCCCCCC#CI)Oc1ccccc1,4
3233,CCCCCCCCC1CCC(=O)O1,4
2735,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,4.407506292
1317,CC(C)C1CCC(N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,5.21
12754,O=c1ccc2ncc(F)c3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCCO3)CC1,4.24
843,CC(=O)c1cc2ccccc2s1,4
2220,CC1=C(C(=O)O)N2C(=O)C(N)C2SC1,4
11194,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,4
9466,Clc1cc(Cl)cc(Cl)c1,4
11176,O=C(Cl)OCCOCCOC(=O)Cl,4
4444,CCOC(=O)c1nn(-c2ccc(Cl)cc2)c(=Nc2nc(-c3ccccc3)cc(-c3ccccc3)c2C#N)s1,5.08
450,C=COCC1CCC(CO)CC1,4
8681,Cc1ccc2ccccc2n1,4
7846,Cc1c(C(O)CN2CCC3(CC2)CCN(c2ncns2)C3=O)ccc2c1COC2=O,4.91
7625,CS(=O)(=O)c1ccc(OCCC2CC2C2CCN(c3ncc(Cl)cn3)CC2)nc1,4.72
3940,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2cccc(NC(=O)OC)c2)cc1,5.96
5110,CN(C)CCOCCN(C)C,4
1606,CC(C)Oc1nc(C2CCNCC2)ncc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.4
2291,CC1C(c2ccccc2)N=C(O)N1C,4
1916,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(CCC#N)CC1,4.7
5778,CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13
3301,CCCCCCCCCCCCCC=O,4
